NO,개최년도,무역관,지속선정여부,전시회명(영문),전시회명(국문),전시회명(약),개최시작일자,개최종료일자,개최미정여부,모집시작일자,모집종료일자,국가,도시,개최유형,전시장,전시회 설명,전시회 특징,전시품목,개최규모,개최규모단위,산업분야,비고(전시회 신청정보),유관기관 지원 전시회 여부,s,월
105,2027,북미지역본부 로스앤젤레스무역관,N,2027 Makeup in LA,2027 미국 로스앤젤레스 스킨케어 전시회,Makeup in LA,2027-02,2027-02,N,,,미국,로스앤젤레스,오프라인,Los Angeles Convention Center,"행사 규모: MakeUp in LA는 비교적 밀도 높은 B2B 전시 형태로, 참관객과 참가자 수 모두 5천 명 내외로 안정적인 운영을 이어가고 있습니다.  콘텐츠 중심 운영: 기술 및 스타트업 중심의 부대 프로그램(Beauty Tank, IT Awards)이 강조되어, 단순 전시를 넘어 산업 트렌드 플랫폼 역할을 수행합니다.","행사 규모: MakeUp in LA는 비교적 밀도 높은 B2B 전시 형태로, 참관객과 참가자 수 모두 5천 명 내외로 안정적인 운영을 이어가고 있습니다.  콘텐츠 중심 운영: 기술 및 스타트업 중심의 부대 프로그램(Beauty Tank, IT Awards)이 강조되어, 단순 전시를 넘어 산업 트렌드 플랫폼 역할을 수행합니다.",뷰티 제조 업,8000,sqm(㎡),뷰티&미용용품,,N,2027-02-01,2
117,2027,북미지역본부 워싱턴DC무역관,N,2027 GlobalChem,2027 미국 워싱턴 D.C 화학규제 전시회 [GlobalChem ],GlobalChem ,2027-02-01,2027-02-28,Y,,,미국,워싱턴,오프라인,Charles E. Smith Center,"미국 화학 협회(ACC)에서 매년 개최하는 행사로, 제조업자 및 공급망에 영향을 미치는 화학 산업에서의 규제 정책과 절차를 광범위하게 다룬다. 화학 물질 관리 및 규제 준수를 주제로 한 연사 발표와 패널 토론도 진행한다.  ",,"화학, 안전, 컴플라이언스 관련 제품 및 서비스",50000,sqft (ft²),화학&나노,"★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동 될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전 문의 바랍니다. 

★ 2027년 구체적인 정보는 미정이므로 추후 업데이트 예정",N,2027-02-01,2
125,2027,북미지역본부 뉴욕무역관,N,NY NOW,2027 미국 뉴욕 라이프스타일 전시회 [NY NOW],NY NOW,2027-02-01,2027-02-28,Y,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"북미 최대의 국제 디자인 박람회로, 유럽·아시아 등 다양한 지역에서 온 바이어들이 참여 제조업자, 소매업체, 디자이너 등 업계 관계자가 대거 참가하며, 브랜드 노출과 비즈니스 네트워킹이 활발한 장 변화하는 소매 환경에 맞춰, 지속 가능한 디자인과 혁신 스타트업도 대거 전시",,"Home (홈리빙): 홈 디자인, 정원·아웃도어 리빙, 식음료, 홈 데코, 테이블웨어 등 Gift & Lifestyle (선물·라이프스타일): 아기·어린이 용품, 뷰티 및 웰니스, 게임, 선물·문구류, 출판, 취미용품, 장난감 Jewelry & Accessories (주얼리·액세서리): 액세서리, 의류, 패션 주얼리, 파인 주얼리, 세미 파인, 럭셔리 주얼리 최근에는 아로마테라피, 향수, 그래픽 스테이셔너리, 트렌디한 홈 데코 및 독창적인 선물 제품 등도 포함되며, 35개 이상의 세부 카테고리",150000,sqft (ft²),문구&선물,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있으며, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-02-01,2
134,2027,북미지역본부 로스앤젤레스무역관,N,2027 International Builder's Show,2027 미국 라스베가스 건축산업 전시회,IBS,2027-02-02,2027-02-04,N,,,미국,라스베가스,오프라인,Las Vegas Convention Center,ㅇ,"- 세계 3대 건축박람회로 미국과 아메리카 대륙 최고의 최대 건축박람회 - 77년 전통과 역사를 자랑하며 세계적인 지명도가 높음 - 360여회 총회, 워크샵, 컨퍼런스 등이 전시회 기간중 열림 - 욕실 주방 전문박람회인 KBIS와 동시개최되어 인테리어 분야 바이어들도 많이 방문함","건축기자재, 인테리어, 욕실, 키친, 건설기계 등 건설/건축/인테리어 전반",45000,sqft (ft²),기타,,N,2027-02-02,2
148,2027,북미지역본부 뉴욕무역관,N,Shoppe Object New York,2027 미국 뉴욕 디자인 오브제 전시회 [Shoppe Object New York],Shoppe Object New York,2027-02-07,2027-02-09,N,,,미국,뉴욕,오프라인,The Starrett-Lehigh Building,"Shoppe Object은 **뉴욕에서 열리는 대표적인 하우스·기프트·라이프스타일 전문 B2B 트레이드 쇼로, 전 세계 바이어와 리테일러들이 모여 신제품을 발굴하고 비즈니스 관계를 구축하는 중요한 마켓 행사입니다. 쇼는 매년 두 차례 개최되며, Starrett‑Lehigh Building 같은 상징적인 장소에서 800개 이상 엄선된 브랜드가 참가해 홈데코, 디자인 리빙, 액세서리, 스테이셔너리, 뷰티·웰니스 등 다양한 제품을 전시합니다. 이런 구성으로 인해 바이어들이 단순 제품을 보는 것을 넘어, 디자인 트렌드와 혁신적 브랜드를 한 자리에서 접할 수 있는 플랫폼 역할을 하고 있습니다.  쇼는 브랜드와 바이어 간 실질적 네트워킹 기회를 제공하고, 전 세계 각지에서 참여하는 방문객을 통해 글로벌 노출 효과를 기대할 수 있습니다. 특히 현대 리테일 환경에서 “잘 만들어진 제품”과 “디자인 중심 브랜드”를 찾는 바이어들에게 강한 영향을 미치는 전시회로 자리매김하고 있습니다.",,"디자인 오브제, 생활용품",150000,sqft (ft²),"문구&선물, 뷰티&미용용품, 쥬얼리, 패션&섬유","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있으며, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-02-07,2
156,2027,북미지역본부 애틀랜타무역관,N,The NAFEM Show ,2027 미국 올랜도 주방기구 전시회 [The NAFEM Show],The NAFEM Show,2027-02-11,2027-02-13,N,,,미국,올랜도,오프라인,Orange County Convention Center,북미 최대 규모의 상업용 주방·푸드서비스 장비 전문 전시회,북미 최대 규모의 푸드서비스·상업 주방장비 전문 B2B 전시,"상업용 주방장비·냉장·냉동 설비, 조리·식품가공 장비, 환기 시스템, 보온·보관·서빙 장비, 식기세척·위생 장비, 운반·보관 솔루션, 스마트 키친 및 자동화 장비.",325000,sqft (ft²),"생활용품&가구, 식품&음료","★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.

- 주최 측에서 공식적으로 발표된 전년도 개최국 기업 수는 별도로 제공되지 않았음.

다만, 전년도 (2025년) 전체참가업체수는 약 600개사 전체 참관객수는 약 20,000명으로 확인됨. ",N,2027-02-11,2
173,2027,북미지역본부 뉴욕무역관,N,2027 COTERIE- Women's Fashion Show in New York ,2027 미국 뉴욕 춘계 패션 코테리 전시회,COTERIE,2027-02-17,2027-02-19,N,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,0,"미국 뉴욕 코트리 국제패션박람회는 세계 1위 전시주최기업인 Informa가 개최하는 세계 최대 규모의 여성럭셔리패션 전문전시회로 주최측의 엄격한 사전 심사과정을 통해 선별된 브랜드들만이 출품이 가능함. 선발과정이 매우 업격하고 권위가 있어 미국의 주요백화점들에 입점시에 각 백화점들은 코트리 참가실적들을 중요하게 평가함. 전체 방문 바이어들 중 80% 이상이 백화점, 셀렉샵, 온라인 쇼핑몰,  쇼룸 등 실질적인 패션 유통전문 바이어들로 전시회 주최측이 등급별로 관리 및 초청하는 VIBR(Very Important Buyer Relationship) 프로그램을 운영하고 있으며, 실질적인 거래 및 비즈니스 환경을 제공하기위해 다양한 편의시설과 프로그램을 운영함","여성 패션의류, 잡화 (액세사리, 가방), 패션 쥬얼리 등",50000,sqm(㎡),패션&섬유,,N,2027-02-17,2
179,2027,북미지역본부 뉴욕무역관,N,Toy Fair,2027 미국 뉴욕 완구 전시회  [toyfair],toyfair,2027-02-20,2027-02-23,N,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"최대 규모의 국제 B2B 완구 박람회로, 전 세계의 장난감 완구 업체와 전문가가 참여하여 완구, 게임, 엔터테인먼트 등 관련 분야의 다양한 제품과 서비스를 선보임",,"전자 작동 완구, 봉제 완구, 게임 완구, 어린이 가구, 비디오, 오디오, 컴퓨터 게임 등",150000,sqft (ft²),유아·아동&교육&임산부,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있으며, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-02-20,2
211,2027,북미지역본부 로스앤젤레스무역관,N,International Security Conference & Exposition West 2027,2027 미국 라스베가스 보안장비 산업 전시회,ISC WEST,2027-03,2027-03,N,,,미국,라스베가스,오프라인,The Venetian-Sands Expo Convention Center,"- 북미 지역 최대 물리보안 전시회로, 2025년에는 참가업체 약 750여개사, 참가객 약 29,000명(전년 대비 7.41%↑)이 참가함 - 최근 3년간 참가업체(연평균 10.9%↑) 및 참가객(연평균 13.2%↑)이 꾸준히 증가하고 있으며,  한국관 및 기업 단독참가 업체 수 역시 증가(연평균 19%↑)하고 있는 전시회임 - 미국에서 매년 개최되는 행사로 보안업계가 새로운 보안장비, 솔루션 및 기술을 선보이는 미국 보안산업 최대의 프리미어 론칭 행사","- 북미 지역 최대 물리보안 전시회로, 2025년에는 참가업체 약 750여개사, 참가객 약 29,000명(전년 대비 7.41%↑)이 참가함 - 최근 3년간 참가업체(연평균 10.9%↑) 및 참가객(연평균 13.2%↑)이 꾸준히 증가하고 있으며,  한국관 및 기업 단독참가 업체 수 역시 증가(연평균 19%↑)하고 있는 전시회임 - 미국에서 매년 개최되는 행사로 보안업계가 새로운 보안장비, 솔루션 및 기술을 선보이는 미국 보안산업 최대의 프리미어 론칭 행사","영상감시(Video Surveillance), 출입통제(Access Control), 정보기술/사물인터넷 보안(IT&IoT Security), 침입경보(Alarms), 무선장비(Wireless Equipment), 생체인식(Biometrics),  탐지 장치(Detection Controls/Devices), 스마트홈(Smart Home), 보안 법규제(Law Enforcement) 등",76400,sqm(㎡),기타,,N,2027-03-01,3
223,2027,북미지역본부 로스앤젤레스무역관,N,2027 MEDTRADE,2027 미국 피닉스 가정용 의료기기 전시회,MEDTRADE,2027-03-01,2027-03-31,N,,,미국,"피닉스, AZ",오프라인,Phoenix Convention Center,"Medtrade 전시회는 1979년 처음 개최된 이후 미국 내 대표적인 홈 헬스케어 및 재택 의료기기 전문 전시회로 자리매김해 왔음. 2026년에는 미국 월드컵 본부가 텍사스 달라스에 설치됨에 따라 개최 장소가 아리조나 피닉스 컨벤션센터로 변경될 예정임. 본 전시회에는 의료기기 제조사, 유통사, 바이어, 의료 전문가 등 다양한 이해관계자가 참여하며, 가정용 의료기기, 재활·물리치료 장비, 이동 보조기구, 실버케어 제품 등 미국 내에서 빠르게 성장하는 분야를 집중적으로 다루고 있음. 한국 기업들은 이 전시회를 통해 최신 제품과 기술을 효과적으로 홍보하고, 현지 바이어 및 유통사와의 네트워크를 확장하며 시장 진출의 발판을 마련할 수 있음.  최근 미국은 높은 의료비 부담으로 인해 병원 진료 대신 가정에서의 치료·관리를 선호하는 경향이 확대되고 있음. 이에 따라 약국이나 온라인 유통채널을 통한 가정용 의료기기 구매가 일상화되었으며, 고령화와 만성질환 증가, 원격의료 확산 등 복합적 요인이 맞물려 홈 헬스케어 수요가 꾸준히 증가하고 있음. 가정용 의료기기의 주요 카테고리로는 ▲호흡기 관리 장비(산소발생기, CPAP/BiPAP, 네뷸라이저) ▲이동 보조기구(휠체어, 전동 스쿠터, 워커) ▲재활·물리치료 기기(TENS, 운동치료기) ▲가정용 병상 및 액세서리(전동 침대, 압력 분산 매트리스) ▲실버케어 및 일상생활 보조기구 ▲기타 홈 헬스케어 기기(혈압계, 혈당측정기, 원격 모니터링 기기) 등이 포함됨.  글로벌 홈 헬스케어 시장은 2025년 약 506억 달러에서 2030년 721억 달러로 성장할 것으로 전망되며, 미국 가정용 의료기기 시장 역시 꾸준한 성장세를 보일 것으로 예상됨. 특히 미국 시장은 2035년 약 485억 달러 규모에 도달할 것으로 전망되며, 이 기간 연평균 성장률은 약 5.6%에 이를 것으로 추정됨. 이러한 흐름 속에서 미국의 고령 인구 증가와 만성질환 환자 확대는 재택 관리형 의료기기 및 실버케어 제품에 대한 수요를 더욱 가속화할 것으로 예상됨.  이와 같은 시장 환경은 한국 기업들에게 큰 기회로 작용할 것으로 판단됨. Medtrade 2026은 미국 내 의료기기 유통 구조와 소비자 수요를 직접 확인하고, 현지 파트너십을 강화할 수 있는 최적의 무대가 될 것임. 따라서 본 전시회는 단순한 제품 전시를 넘어 미국 시장 진출 전략을 구체화하고 글로벌 경쟁력을 높이는 중요한 교두보가 될 것으로 기대됨.","Medtrade 전시회는 1979년 처음 개최된 이후 미국 내 대표적인 홈 헬스케어 및 재택 의료기기 전문 전시회로 자리매김해 왔음. 2026년에는 미국 월드컵 본부가 텍사스 달라스에 설치됨에 따라 개최 장소가 아리조나 피닉스 컨벤션센터로 변경될 예정임. 본 전시회에는 의료기기 제조사, 유통사, 바이어, 의료 전문가 등 다양한 이해관계자가 참여하며, 가정용 의료기기, 재활·물리치료 장비, 이동 보조기구, 실버케어 제품 등 미국 내에서 빠르게 성장하는 분야를 집중적으로 다루고 있음. 한국 기업들은 이 전시회를 통해 최신 제품과 기술을 효과적으로 홍보하고, 현지 바이어 및 유통사와의 네트워크를 확장하며 시장 진출의 발판을 마련할 수 있음.  최근 미국은 높은 의료비 부담으로 인해 병원 진료 대신 가정에서의 치료·관리를 선호하는 경향이 확대되고 있음. 이에 따라 약국이나 온라인 유통채널을 통한 가정용 의료기기 구매가 일상화되었으며, 고령화와 만성질환 증가, 원격의료 확산 등 복합적 요인이 맞물려 홈 헬스케어 수요가 꾸준히 증가하고 있음. 가정용 의료기기의 주요 카테고리로는 ▲호흡기 관리 장비(산소발생기, CPAP/BiPAP, 네뷸라이저) ▲이동 보조기구(휠체어, 전동 스쿠터, 워커) ▲재활·물리치료 기기(TENS, 운동치료기) ▲가정용 병상 및 액세서리(전동 침대, 압력 분산 매트리스) ▲실버케어 및 일상생활 보조기구 ▲기타 홈 헬스케어 기기(혈압계, 혈당측정기, 원격 모니터링 기기) 등이 포함됨.  글로벌 홈 헬스케어 시장은 2025년 약 506억 달러에서 2030년 721억 달러로 성장할 것으로 전망되며, 미국 가정용 의료기기 시장 역시 꾸준한 성장세를 보일 것으로 예상됨. 특히 미국 시장은 2035년 약 485억 달러 규모에 도달할 것으로 전망되며, 이 기간 연평균 성장률은 약 5.6%에 이를 것으로 추정됨. 이러한 흐름 속에서 미국의 고령 인구 증가와 만성질환 환자 확대는 재택 관리형 의료기기 및 실버케어 제품에 대한 수요를 더욱 가속화할 것으로 예상됨.  이와 같은 시장 환경은 한국 기업들에게 큰 기회로 작용할 것으로 판단됨. Medtrade 2026은 미국 내 의료기기 유통 구조와 소비자 수요를 직접 확인하고, 현지 파트너십을 강화할 수 있는 최적의 무대가 될 것임. 따라서 본 전시회는 단순한 제품 전시를 넘어 미국 시장 진출 전략을 구체화하고 글로벌 경쟁력을 높이는 중요한 교두보가 될 것으로 기대됨.","호흡기 관리 장비(산소발생기, CPAP/BiPAP, 네뷸라이저) ▲이동 보조기구(휠체어, 전동 스쿠터, 워커) ▲재활·물리치료 기기(TENS, 운동치료기) ▲가정용 병상 및 액세서리(전동 침대, 압력 분산 매트리스) ▲실버케어 및 일상생활 보조기구 ▲기타 홈 헬스케어 기기(혈압계, 혈당측정기, 원격 모니터링 기기) 등",63500,sqft (ft²),기타,,N,2027-03-01,3
238,2027,북미지역본부 뉴욕무역관,N,IECSC NEW YORK,2027 미국 뉴욕 IECSC 국제 미용&스파 전시회,,2027-03-01,2027-03-31,Y,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"IECSC New York은 뉴욕에서 매년 상반기에 개최되는 뷰티 전시회이며 IECSC는 매년 총 3회 뉴욕, 플로리다, 라스베가스에서 개최 됩니다. 이 전시회는 미용 전문가 및 종사자, 바이어들을 위한 대표적인 뷰티 전시회로, 미용사, 에스테티션(피부관리 전문가), 피부과 의사 및 간호사, 메이크업 아티스트, 살롱 운영자 등 다양한 뷰티 종사자들이 참여합니다.",,"스킨케어, 뷰티 의료기기, 리프팅 마사지기, 화장품, 스파용품, 이너뷰티 제품 등",42000,sqft (ft²),뷰티&미용용품,2024년 참가 성과 정보 추후 업데이트,N,2027-03-01,3
244,2027,북미지역본부 뉴욕무역관,N,The Whole Bead Show,2027 미국 뉴욕 공예품 전시회,,2027-03-01,2027-03-31,Y,,,미국,뉴욕,오프라인,Martinique Hotel New York on Broadway,"1992년 워싱턴 D.C.를 시작으로 현재 필라델피아, 시카고, 뉴욕, 호놀룰루, 애틀랜타 등 미국 전역의 주요 도시에서 열리고 있는 비즈 공예 전문 전시회로 일반 대중에게도 공개되며 다양한 종류의 비즈를 포함한 공예 재료 및 공예품을 만나볼 수 있음",,"비즈, 보석, 단추, 유리 구슬, 수제 유리, 펜던트 등의 공예재료 및 공예품",150000,sqft (ft²),"쥬얼리, 기타","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-03-01,3
292,2027,북미지역본부 뉴욕무역관,N,IECSC,"2027 미국 뉴욕 미용, 스파 전시회 [IECSC]",IECSC,2027-03-07,2027-03-09,N,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"IECSC New York은 뉴욕에서 매년 상반기에 개최되는 뷰티 전시회이며 IECSC는 매년 총 3회 뉴욕, 플로리다, 라스베가스에서 개최 됩니다. 이 전시회는 미용 전문가 및 종사자, 바이어들을 위한 대표적인 뷰티 전시회로, 미용사, 에스테티션(피부관리 전문가), 피부과 의사 및 간호사, 메이크업 아티스트, 살롱 운영자 등 다양한 뷰티 종사자들이 참여합니다.",,"스킨케어, 뷰티 의료기기, 리프팅 마사지기, 화장품, 스파용품, 이너뷰티 제품 등",150000,sqft (ft²),뷰티&미용용품,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음",N,2027-03-07,3
293,2027,북미지역본부 뉴욕무역관,N,Be+Well,2027 미국 뉴욕 미용 전시회 [Be+Well],Be+Well 변경요망,2027-03-07,2027-03-09,N,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"미국 내 뷰티 산업 전시회 중 가장 긴 역사를 자랑하는 미용 전문 전시회로 참관객의 약 50%가 살롱 운영자 또는 매니저이며 헤어, 네일, 스킨케어, 메이크업 아티스트 등 뷰티 업계 전문가가 참가하여 다양한 제품을 선보이며 새로운 기술 및 기법을 공유하는 가장 큰 규모의 B2B 뷰티 이벤트",,"헤어, 네일, 메이크업 뷰티 관련 제품 ",150000,sqft (ft²),뷰티&미용용품,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있는 상태입니다.",N,2027-03-07,3
294,2027,북미지역본부 뉴욕무역관,N,New York Restaurant Show,2027 미국 뉴욕 레스토랑&식품 전시회,,2027-03-07,2027-03-09,N,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"미국 뉴욕에서 3일 동안 진행되는 미국 동부 최대 식품 전시회로 식자재 및 외식산업, 식품 서비스 산업 관련 기업과 전문가가 참여하며 레스토랑 및 식음료 산업의 다양한 제품과 식품 서비스 관련 기술 등을 선보임. 오랫동안 미국 뉴욕 레스토랑 & 식품 전시회 (International Restaurant and Food Service Show)로 진행되어 오다 2024년 레스토랑 쇼로 (New York Restaurant Show)로 새롭게 리브랜딩 됨",,"식품, 음료, 포장기기 및 재료, 포장용기, 식품 서비스 관련 기술 등",150000,sqft (ft²),식품&음료,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 또한, 주최 측에서는 전년도 참가 성과 관련 정보는 별도로 공개하지 않습니다.",N,2027-03-07,3
295,2027,북미지역본부 뉴욕무역관,N,Coffee Fest New York ,2027 미국 뉴욕 커피 전시회,,2027-03-07,2027-03-10,N,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"다양한 종류의 커피, 음식 및 장비 공급 업체들이 제품을 선보이며 세계적 수준의 바리스타 시연, 무료 커피 시음, 양방향 워크샵, 길거리 음식, 커피 칵테일, 라이브 음악 등 다양한 프로그램과 네트워킹의 기회가 제공됨",,"다양한 종류의 커피, 커피 관련 제품 및 커피 관련 식품 등",150000,sqft (ft²),식품&음료,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음",N,2027-03-07,3
296,2027,북미지역본부 뉴욕무역관,N,Seafood Expo North America ,2027 미국 보스턴 수산물 전시회,,2027-03-07,2027-03-09,N,,,미국,보스턴,오프라인,Boston Convention Exhibition Center,"브뤼셀, 칭다오와 함께 세계 3대 수산물 박람회로 꼽히는 수산물 전문 B2B 행사로 수출업자, 유통업자, 소매업자, 식당 운영자 등 약 22,000명 이상의 업계 전문가가 참가하며 다양한 제품을 만나볼 수 있음. 산업 트렌드를 파악할 수 있으며, 네트워킹 기회와 함께 새로운 비즈니스 기회 또한 만나볼 수 있는 북미 최대 규모의 수산물 박람회",,"생선 및 해산물(신선 냉장, 냉동, 부가가치), 해산물 가공 및 포장 장비, 운송업체 등 수산물 산업 관련 제품",150000,sqft (ft²),"식품&음료, 농수산&임업","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음",N,2027-03-07,3
297,2027,북미지역본부 워싱턴DC무역관,N,SATELLITE × GovMilSpace 2027,2027 미국 워싱턴 위성 통신 전시회 [SATSHOW],SATSHOW,2027-03-08,2027-03-11,N,,,미국,워싱턴,오프라인,Walter E Washington Convention Center,"SATELLITE 전시회는 전 세계 위성 및 우주 산업 전반을 아우르는 가장 영향력 있는 글로벌 박람회로, 위성 생태계의 모든 주체들이 한자리에 모이는 업계 최대 규모의 행사입니다. 매년 100개국 이상의 주요 기업, 정부 기관, 연구소, 스타트업이 참여하여 최신 기술과 시장 트렌드를 공유하며, 신규 고객 발굴, 기존 파트너와의 관계 강화, 그리고 실질적인 비즈니스 협력이 활발하게 이루어지는 B2B 중심의 장입니다. 급변하는 위성 산업의 흐름을 이해하고, 글로벌 시장 진출을 도모하고자 하는 기업이라면 반드시 참석해야 할 필수 전시회로 자리매김하고 있습니다.",,"위성 통신 장비 및 서비스, 지상국 및 안테나 시스템, 위성 제조 및 발사 서비스, 지구 관측 및 원격 탐사 기술, 우주 탐사 및 우주선 기술, 위성 기반 IoT 및 데이터 분석 솔루션, 우주 정책 및 규제 관련 정보",92000,sqft (ft²),"정보통신기술(IT)&S/W, 기계&장비, 전기전자&반도체, 항공&우주, 방위산업",★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관전반드시 주최자 또는 전시장으로 사전문의 바랍니다.,N,2027-03-08,3
343,2027,북미지역본부 시카고무역관,N,World of Asphalt-Show and Conference,2027 미국 인디애나폴리스 아스팔트 전시회 [WOA],WOA,2027-03-15,2027-03-17,N,,,미국,뉴올리언즈,오프라인,Music City Center,"아스팔트 무역박람회오 컨퍼런스를 리드하는 전시회. 500개가 넘는 exhibitors 과 150 개가 넘는 교육세션이 있을 예정. 운영, 운영, 운영, 기술, 보건 및 안전, 리더십, 비즈니스 관리 등에 대한 전문가 주도의 세션이 있는 AGG1쇼와 같은 곳에서 이루어질 예정     *본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동 될 수 있으므로 전시회 참가 및 참관전 반드시 주최자 또는 전시장으로 사전문의 바랍니다",,"건축자재, 건설, 빌딩",25800,sqft (ft²),건축&기자재,★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.,N,2027-03-15,3
346,2027,북미지역본부 시카고무역관,N,NSSGA AGG1 Aggregates Academy & Expo,2027 미국 인디애나주 골재 전시회 [AGG1],AGG1,2027-03-15,2027-03-17,N,,,미국,네슈빌,오프라인,Music City Center,"500명 이상의 전시자들과 120개의 교육 세션과 함께 골재 관련 산업과 프로젝트를 위한 장비, 업계 인맥, 새로운 잠재고객, 매출 증대 등을 얻을 수 있는 전시회",,"[건축&기자재],[문구&선물] ",258000,sqft (ft²),건축&기자재,★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.,N,2027-03-15,3
399,2027,북미지역본부 실리콘밸리무역관,N,RSA Conference 2027,2027 미국 샌프란시스코 정보보안 전시회,RSAC,2027-03-26,2027-03-28,N,,,미국,샌프란시스코,오프라인,Moscone Convention Center,"- RSAC는 글로벌 정보보안 산업의 현재와 미래를 논의하고, 최신 기술과 제품을 전시하는 세계 최대 정보보안 행사 - 스타트업 투자행사(Innovation Sandbox), 전시 및 컨퍼런스가 동시 개최 - 북미지역 뿐만 아니라 유럽, 중동 등 다양한 바이어를 만나 네트워크를 구축하고, 글로벌 보안 트렌드를 확인 가능","- RSAC는 글로벌 정보보안 산업의 현재와 미래를 논의하고, 최신 기술과 제품을 전시하는 세계 최대 정보보안 행사 - 스타트업 투자행사(Innovation Sandbox), 전시 및 컨퍼런스가 동시 개최 - 북미지역 뿐만 아니라 유럽, 중동 등 다양한 바이어를 만나 네트워크를 구축하고, 글로벌 보안 트렌드를 확인 가능","네트워크 보안, 인증 및 암호, PC보안, DB보안, 정보유출방지, 무선 모바일 보안, 생체인식 시스템 등 정보보안 관련 전 제품",46678,sqm(㎡),기타,,N,2027-03-26,3
