No,전시회명(영문),전시회명(국문),회의시작일,회의종료일,전시시작일,전시종료일,일자확정여부,개최주기,2027개최여부,도시,주,전시장,산업분야,규모,규모기준연도,한국관모집상태,한국관운영기관,출처구분,검증등급,공식URL,확인일자,비고
85,National Association Broadcasters 2027,2027 미국 라스베가스 방송장비 전시회,2027-04-04,2027-04-07,,,확정,⚠ 미확인,⚠ 미확인,라스베가스,,Las Vegas Convention Center,기타,670000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
86,ISC West,2027 미국 라스베가스 보안 전시회,2027-04-05,2027-04-09,2027-04-07,2027-04-09,확정,연1회,개최,라스베가스,NV,Venetian Expo,보안,,,⚠ 미확인,⚠ 미확인,외부,⚠,discoverisc.com,2026-08-11,GEP는 3월로 오기재. SEMICON West와 별개
87,Artexpo New York,2027 미국 뉴욕 아트 엑스포 전시회 [Artexpo New York],2027-04-08,2027-04-11,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Pier 36 NYC,문화콘텐츠&미디어,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
88,Functional Fabric Fair Spring 2027,2027 미국 포틀랜드 춘계 아웃도어스포츠 기능성 섬유 박람회,2027-04-08,2027-04-09,,,확정,⚠ 미확인,⚠ 미확인,포틀랜드,,Oregon Convention Center,기타,52000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
89,2027 PACK EXPO Southeast,2027 미국 애틀랜타 포장  전시회 [PACK EXPO Southeast ],2027-04-12,2027-04-14,,,확정,⚠ 미확인,⚠ 미확인,애틀란타(GA),,Georgia World Congress Center,"전기전자&반도체, 물류&운송, 기계&장비",110000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
90,Interphex,2027 미국 뉴욕 의약품 전시회 [Interphex],2027-04-13,2027-04-15,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"바이오, 의료&제약",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
91,ProMat,2027 미국 시카고 물류공급망 전시회,2027-04-19,2027-04-21,2027-04-19,2027-04-21,확정,격년(홀수년),개최,시카고,IL,McCormick Place,물류·공급망,,,⚠ 미확인,⚠ 미확인,외부,✅,promatshow.com,2026-08-11,"4일→3일 단축. 1,000+사·670,000sqft('27계획). GEP 미수록"
92,Awesome Con 2027,2027 미국 워싱턴 만화 전시회 [Awesome Con],2027-04-23,2027-04-25,,,확정,⚠ 미확인,⚠ 미확인,워싱턴,,Walter E Washington Convention Center,문화콘텐츠&미디어,2300000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
93,PFS & Injectable Drug Devices East Coast,2027 미국 보스턴 PFS 및 주사제 기기 전시회  [PFS & Injectable Drug Devices East Coast],2027-04-26,2027-04-28,,,확정,⚠ 미확인,⚠ 미확인,보스턴,,미정,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
94,THE JCK LAS VEGAS SHOW 2027,2027 미국 라스베가스 보석 전시회,2027-05,2027-05,,,월단위추정,⚠ 미확인,⚠ 미확인,라스베가스,,The Venetian-Sands Expo Convention Center,뷰티&미용용품,52000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-05~2027-05
95,NPE: The Plastics Show,2027 미국 올랜도 플라스틱 전시회,2027-05-03,2027-05-07,,,확정,3년주기,개최,올랜도,FL,Orange County CC,플라스틱,,,⚠ 미확인,⚠ 미확인,양쪽(교차일치),✅,npe.org,2026-08-11,"2,200+사·55,000명('27목표). 테마 NEXT IS NOW. GEP 교차일치"
96,Offshore Technology Conference (OTC),2027 미국 휴스턴 해양기술 컨퍼런스,2027-05-03,2027-05-05,,,확정,연1회,개최,휴스턴,TX,NRG Park,해양·에너지,,,⚠ 미확인,⚠ 미확인,외부,⚠,otcnet.org,2026-08-11,집계사이트만 — 공식 확인 필수
97,SynBioBeta,2027 미국 산호세 합성생물학 컨퍼런스,2027-05-03,2027-05-06,,,확정,연1회,개최,산호세,CA,San Jose Convention Center,합성생물학·바이오,,,⚠ 미확인,⚠ 미확인,외부,⚠,synbiobeta.com,2026-08-11,
98,Eastec Exposition,2027 미국 보스턴 제조 전시회 [Eastec Exposition],2027-05-11,2027-05-13,,,확정,⚠ 미확인,⚠ 미확인,보스턴,,Eastern States Exposition,"금속&광물, 기계&장비",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
99,VineExpo,2027 미국 와인 전시회  [VineExpo],2027-05-11,2027-05-12,,,확정,⚠ 미확인,⚠ 미확인,마이애미,,Miami Beach Convention Center,식품&음료,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
100,2027 US Pharma and Biotech Summit,2027 미국 뉴욕 제약 및 바이오 서밋 전시회 [US Pharma and Biotech Summit],2027-05-13,2027-05-13,,,확정,⚠ 미확인,⚠ 미확인,,,미정,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
101,TECHSPO Dallas,2027 미국 달라스 테크 엑스포,2027-05-13,2027-05-14,,,확정,연1회,개최,달라스,TX,Westin Galleria Dallas,테크·마케팅,,,⚠ 미확인,⚠ 미확인,외부,⚠,techspodallas.com,2026-08-11,호텔 개최·소규모
102,Bio IT World Conference & Expo],2027 미국 보스턴  바이오 IT 컨퍼런스 및 전시회 [Bio IT World Conference & Expo],2027-05-18,2027-05-20,,,확정,⚠ 미확인,⚠ 미확인,보스턴,,미정,"의료&제약, 정보통신기술(IT)&S/W, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
103,2027 MD&M East,2027 미국 동부 의료기기 전시회 [MD&M East],2027-05-19,2027-05-20,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
104,EastPack,2027 미국 뉴욕 포장산업 전시회 [EASTPACK],2027-05-19,2027-05-20,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"기계&장비, 기타",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
105,2027 CPHI North America,2027 미국 마이애미 의약품 제약 전시회 [CPHI North America],2027-05-25,2027-05-26,,,확정,⚠ 미확인,⚠ 미확인,마이애미,,Miami Beach Convention Center,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
106,Las Vegas IECSC/BE 2027,2027 미국 라스베가스 IECSC 국제 미용&스파 전시회,2027-06,2027-06,,,월단위추정,⚠ 미확인,⚠ 미확인,라스베가스,,Las Vegas Convention Center,뷰티&미용용품,76251,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-06~2027-06
107,DeviceTalks Boston,2027 미국 보스턴 의료기기  전시회(Device Talks)  [DeviceTalks Boston],2027-06-02,2027-06-03,,,확정,⚠ 미확인,⚠ 미확인,보스턴,,Boston Convention & Exhibition Center,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
108,2027 ASCO Oncology Metting,2027 미국 시카고 임상 종양학 전시회 [ASCO Oncology Metting],2027-06-04,2027-06-08,,,확정,⚠ 미확인,⚠ 미확인,시카고,,McCormick Place,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
109,International Franchise Expo,2027 미국 뉴욕 프랜차이즈 전시회 [IFE],2027-06-04,2027-06-05,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,식품&음료,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
110,2027 Bio International Convention,2027 미국 필라델피아 바이오 전시회 [BIO USA],2027-06-07,2027-06-10,,,확정,⚠ 미확인,⚠ 미확인,필라델피아,,Pennsylvania Convention Center,"바이오, 의료&제약",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
111,Bar Convent Brooklyn,2027 미국 뉴욕 바 & 음료 전시회 [BCB (Bar Convent Brooklyn)],2027-06-08,2027-06-09,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Brooklyn Expo Center,"기타, 식품&음료",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
112,NYSCC Suppliers’ Day,2027 미국 뉴욕 뷰티 전시회(Suppliers' Day) [NYSCC Suppliers' Day],2027-06-08,2027-06-09,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"기타, 뷰티&미용용품",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
113,Philadelphia Auto Show,2027 미국 필라델피아 자동차 전시회,2027-06-16,2027-06-24,,,확정,⚠ 미확인,⚠ 미확인,필라델피아,,Pennsylvania Convention Center,자동차,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
114,Power Generation Engineering & Construction (EPC Expo),2027 미국 휴스턴 발전EPC 전시회,2027-06-16,2027-06-17,,,확정,연1회,개최,휴스턴,TX,NRG Center,발전·EPC,,,⚠ 미확인,⚠ 미확인,외부,⚠,epcshow.com,2026-08-11,
115,2027 New York Valves: The Structural Heart Summit,2027 미국 뉴욕 심장질환 서밋 전시회 [New York Valves: The Structural Heart Summit],2027-06-23,2027-06-25,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
116,Outdoor Retailer & Outdoor Design+Innovation Summer Show,2027 미국 솔트레이크 하계 섬유패션 아웃도어용품 전시회,2027-06-23,2027-06-25,,,확정,⚠ 미확인,⚠ 미확인,솔트래크,,Salt Palace Convention Center,기타,44100,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
117,Summer Fancy Food Show,2027 미국 뉴욕 푸드 전시회 [Fancy food show],2027-06-25,2027-06-27,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,식품&음료,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
118,Global Products Expo,2027 미국 뉴저지 소비재 및 식음료 전시회(Global Products Expo) [Global Products Expo],2027-06-26,2027-06-28,,,확정,⚠ 미확인,⚠ 미확인,뉴저지,,New Jersey Convention and Expo Center,식품&음료,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
119,Functional Fabric Fair,2027 미국 뉴욕 기능성 섬유 전시회 [Functional Fabric Fair],2027-07-20,2027-07-21,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,패션&섬유,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
120,FABTECH,2027 미국 시카고 금속가공 전시회,2027-09-13,2027-09-16,,,확정,연1회,개최,시카고,IL,McCormick Place,금속가공·용접,,,⚠ 미확인,⚠ 미확인,양쪽(교차일치),✅,fabtechexpo.com,2026-08-11,2026 10월 라스베가스→2027 9월 시카고. GEP 교차일치
121,2027 COTERIE- Women's Fashion Show in New York,2027 미국 뉴욕 추계 패션 코테리 전시회,2027-09-15,2027-09-17,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,패션&섬유,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
122,WEFTEC,2027 미국 시카고 물환경 전시회,2027-09-25,2027-09-29,2027-09-27,2027-09-29,확정,연1회,개최,시카고,IL,McCormick Place,물·수처리,,,⚠ 미확인,⚠ 미확인,양쪽(교차일치),✅,weftec.org,2026-08-11,100th Annual(100회차). GEP는 'Water Quality Event'명으로 전시기간만 수록
123,2027 TechCrunch Disrupt,2027 미국 샌프란시스코 스타트업 전시회,2027-10-01,2027-10-31,,,월단위추정,⚠ 미확인,⚠ 미확인,샌프란시스코,,Moscone Convention Center,기타,9000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
124,2027 Annual Meeting & Exposition [AUSA],2027 미국 워싱턴 육군 전시회 [AUSA],2027-10-11,2027-10-13,,,확정,⚠ 미확인,⚠ 미확인,워싱턴,,Walter E Washington Convention Center,"항공&우주, 방위산업, 정보통신기술(IT)&S/W",500000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
125,NECA Convention & Trade Show 2027,2027 미국 인디애나폴리스 전기공사 전시회,2027-10-16,2027-10-19,,,확정,⚠ 미확인,⚠ 미확인,인디애나폴리스,,Indiana Convention Center,기타,0,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
126,Radiological Society of North America 2027,2027 미국 시카고 방사선 의료기기 전시회 [RSNA],2027-11-14,2027-11-18,,,확정,⚠ 미확인,⚠ 미확인,시카고,,McCormick Place,"의료&제약, 기계&장비, 국가종합전시회",364000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
127,The International Boatbuilders Exhibition & Conference,2027 미국 플로리다 보트 전시회 [IBEX],2027-12-07,2027-12-09,,,확정,⚠ 미확인,⚠ 미확인,플로리다,,Tampa Convention Center,"기타, 조선&플랜트",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
